GeneSymbol,Control_mean,APOEhi_mean,log2FC_APOEhi_vs_Control,p_value,FDR,significance
HAAO,4.466666666666666,2.1199999999999997,-1.0747769292574896,0.0018066837136596688,0.014352047666802044,Downregulated
PIP5K1A,9.916666666666666,15.553333333333333,0.6492439193339249,0.0017993867619766773,0.014352047666802044,Not significant
PTPRF,2.6333333333333333,0.6,-2.1320010113982635,0.001800906930499139,0.014352047666802044,Downregulated
ASB3,2.9933333333333336,4.846666666666667,0.6950556670508425,0.0017951811578693626,0.014352047666802044,Not significant
SIMC1,5.0,2.783333333333333,-0.844884667723842,0.0018027630945240869,0.014352047666802044,Not significant
KIAA0513,1.5933333333333335,2.4633333333333334,0.6282441220131931,0.0018084172729824054,0.014352047666802044,Not significant
AP1S2,63.443333333333335,32.163333333333334,-0.9800295260096891,0.001794890745112326,0.014352047666802044,Not significant
IQCD,3.5100000000000002,1.07,-1.7129235161304992,0.0018074824297062747,0.014352047666802044,Downregulated
CABLES2,5.7,8.47,0.5713172880254127,0.0018161854786523848,0.014394572002241262,Not significant
CLEC11A,234.81333333333336,86.67333333333333,-1.4378437349671567,0.0018183145999516137,0.014394572002241262,Downregulated
MEGF9,8.646666666666667,4.206666666666667,-1.0392904957818299,0.0018182291739294088,0.014394572002241262,Downregulated
MIS12,5.206666666666667,12.26,1.2353676369235969,0.0018215197686761312,0.01440999386358488,Upregulated
LARS1,12.133333333333333,15.493333333333334,0.35264583392548915,0.0018228447406626474,0.014410530525666156,Not significant
FCGR2A,17.866666666666664,25.62,0.5199755403034557,0.0018292009491358643,0.014413134506174232,Not significant
PLB1,3.973333333333333,1.8066666666666666,-1.1365842090400575,0.0018257231244418733,0.014413134506174232,Downregulated
ZADH2,4.523333333333333,2.66,-0.7657367144210203,0.0018293558811822062,0.014413134506174232,Not significant
RNF130,35.32333333333333,24.33666666666667,-0.5374714745267799,0.0018290908692805059,0.014413134506174232,Not significant
GEMIN6,3.51,1.5166666666666666,-1.210027037582712,0.001829460935748365,0.014413134506174232,Downregulated
OS9,61.73,45.21333333333334,-0.44921497031498775,0.0018328987506977634,0.014421469407455164,Not significant
HS6ST1,4.56,2.07,-1.139022616637243,0.0018330350629557862,0.014421469407455164,Downregulated
AZU1,159.26666666666668,50.446666666666665,-1.6585939637463618,0.0018361860152359421,0.014430842370416188,Downregulated
IRF9,3.36,1.6633333333333333,-1.0139461366990654,0.0018367442221440477,0.014430842370416188,Downregulated
TBC1D13,13.433333333333332,8.58,-0.6467070413734107,0.0018429655003886765,0.014469803788325615,Not significant
ARHGDIA,71.38333333333333,51.166666666666664,-0.4803750363037565,0.0018462477968114305,0.014485652631656007,Not significant
PLEKHG5,4.306666666666667,2.78,-0.6313028717358727,0.0018517133346133495,0.014488866863257902,Not significant
ABCG1,2.5966666666666667,5.076666666666667,0.9669493739434986,0.0018496091552427049,0.014488866863257902,Not significant
PTDSS1,48.10999999999999,33.333333333333336,-0.5293579121657527,0.0018511687018342307,0.014488866863257902,Not significant
ZC3H7A,15.396666666666667,23.94333333333333,0.6369725239023968,0.0018480832854341801,0.014488866863257902,Not significant
SDE2,20.12,51.56333333333333,1.3576715012711147,0.0018602152306343438,0.014501628558402566,Upregulated
ALS2CL,2.073333333333333,3.0666666666666664,0.564493982293275,0.0018604984716575437,0.014501628558402566,Not significant
CD14,342.24666666666667,134.58333333333334,-1.3465302269298511,0.0018617806609258112,0.014501628558402566,Downregulated
FAM98C,2.143333333333333,0.9833333333333333,-1.1233103322126843,0.0018566113769013979,0.014501628558402566,Downregulated
DNAJB5,2.2366666666666664,8.313333333333334,1.8936054471053592,0.0018586984106697241,0.014501628558402566,Upregulated
NAAA,11.176666666666668,8.08,-0.4680133192041387,0.0018596763848458416,0.014501628558402566,Not significant
PIGT,5.6499999999999995,3.9233333333333333,-0.5260585997409556,0.0018621998811801951,0.014501628558402566,Not significant
APH1B,7.866666666666667,6.1499999999999995,-0.35511485959382577,0.001865694952304783,0.014509132454728445,Not significant
ENOX1,2.0833333333333335,0.4533333333333333,-2.1977629551059246,0.0018652179155883312,0.014509132454728445,Downregulated
STIM1,8.76,6.296666666666667,-0.4762781535004813,0.00186789199393238,0.014516370119624998,Not significant
DUSP5,1.57,3.3733333333333335,1.1029193165835955,0.0018708306075547183,0.014529357218428006,Upregulated
LRPPRC,7.13,9.863333333333335,0.4681171477892956,0.0018780376133356476,0.014575453731663189,Not significant
MPHOSPH10,10.886666666666665,14.49,0.4124623527955024,0.0018860098345327208,0.014627422688260202,Not significant
CCNB1,61.81333333333333,39.82,-0.6344119539625133,0.0018944626911449338,0.01466321798014475,Not significant
SEPTIN9,12.799999999999999,9.586666666666666,-0.41700485941816334,0.0018929906849823495,0.01466321798014475,Not significant
CISH,1.6833333333333333,0.8966666666666668,-0.9079259501162804,0.0018943660682366667,0.01466321798014475,Not significant
PIGA,3.6766666666666663,13.456666666666665,1.871565663566623,0.0018974288137898095,0.01466912579535407,Upregulated
PLBD1,11.839999999999998,6.8,-0.7999721281523171,0.0018984211639771968,0.01466912579535407,Not significant
ZNF335,4.12,2.813333333333333,-0.550201250229922,0.0018990650510604067,0.01466912579535407,Not significant
FHIP2B,5.076666666666667,3.5933333333333333,-0.49844148103658015,0.0019007114435094668,0.014671956415453883,Not significant
DNASE1L1,5.896666666666666,3.973333333333333,-0.5694314055898206,0.001903715552644008,0.014685256648693315,Not significant
PARP8,12.703333333333333,8.836666666666666,-0.5235832485805361,0.001906742383168626,0.014698714148125057,Not significant
ZNF124,11.056666666666667,6.78,-0.7054770377568601,0.0019086080274895592,0.014703208211769367,Not significant
RAB44,8.053333333333333,3.533333333333333,-1.188327069200884,0.0019152586180276724,0.014744532933815453,Downregulated
RBBP8,8.0,10.37,0.3743027787114724,0.0019166217467154441,0.014745124216509487,Not significant
KLF6,9.846666666666668,22.53333333333333,1.1942709352673124,0.0019188395658824948,0.014752285676533224,Upregulated
HNRNPF,63.49333333333334,54.73,-0.21426962517237183,0.0019250053941138913,0.014762604758938239,Not significant
AREG,0.28,13.936666666666667,5.6322751162169515,0.0019289416297867507,0.014762604758938239,Upregulated
ACTR10,13.61,18.03,0.4057063453927947,0.0019282991533316823,0.014762604758938239,Not significant
POP1,9.83,5.836666666666667,-0.751946338930962,0.001928475909855296,0.014762604758938239,Not significant
ZC3HAV1,14.893333333333333,9.266666666666667,-0.6844854900172034,0.0019247822967932969,0.014762604758938239,Not significant
SLC33A1,4.886666666666667,11.696666666666667,1.2590029806997531,0.0019291967136778753,0.014762604758938239,Upregulated
ZNF467,8.416666666666666,3.1466666666666665,-1.419137611537874,0.001925509369274896,0.014762604758938239,Downregulated
TRIM5,4.386666666666667,2.9133333333333336,-0.5902880293244326,0.0019317032701919453,0.014771924340367091,Not significant
DHX37,3.766666666666667,2.1633333333333336,-0.7997486237113868,0.0019374776039942933,0.014796339623308851,Not significant
PPP1CC,44.653333333333336,33.10666666666667,-0.4316348464373232,0.0019372203956370614,0.014796339623308851,Not significant
ARL6IP5,72.81,49.85,-0.5465339785357487,0.0019431907215498427,0.014810369176280484,Not significant
DIPK2A,7.419999999999999,3.3466666666666662,-1.1484577238009261,0.0019417810620772306,0.014810369176280484,Downregulated
FRMD4A,4.096666666666667,2.36,-0.7954045884862946,0.0019419737871742375,0.014810369176280484,Not significant
PLXNB2,57.330000000000005,38.21333333333333,-0.5852015814724669,0.0019477554944036912,0.014825445705411363,Not significant
VANGL1,3.4766666666666666,2.0233333333333334,-0.7806727889064772,0.0019475386348193622,0.014825445705411363,Not significant
PPP1R3G,3.86,1.6566666666666665,-1.2198206238602525,0.0019565171875685528,0.014872384960940531,Downregulated
ZNF559,2.9599999999999995,1.8766666666666667,-0.6571435196591616,0.0019555549117336395,0.014872384960940531,Not significant
SHCBP1,22.090000000000003,32.74666666666666,0.5679333884698016,0.001957995655472049,0.014873760237691252,Not significant
ARHGDIB,238.13000000000002,105.62666666666667,-1.1727676795139892,0.0019631767497963254,0.014888931915694657,Downregulated
PLEKHF1,2.25,5.593333333333333,1.3134001612729709,0.0019628965894019014,0.014888931915694657,Upregulated
UBE2D3,31.820000000000004,41.61333333333334,0.3871013509669162,0.001963889475401755,0.014888931915694657,Not significant
SMAD6,1.486666666666667,0.9066666666666666,-0.7128168242080595,0.001967673421350521,0.014907759701877741,Not significant
LINC01352,2.4466666666666668,0.9266666666666666,-1.3997286913032643,0.001970231393379448,0.014917280358195914,Downregulated
BOD1,11.506666666666666,19.0,0.7234800104689468,0.0019717961403108763,0.014919273370550216,Not significant
TMEM156,0.7600000000000001,2.8633333333333333,1.912231035424082,0.0019749664504370374,0.014933403971873193,Upregulated
AP1S3,1.67,0.7733333333333334,-1.1096850799735363,0.001978002663091224,0.01493665647365922,Downregulated
MTERF1,3.873333333333333,2.736666666666667,-0.5010012860803706,0.0019775616903105987,0.01493665647365922,Not significant
ZFP36L2,86.65333333333332,29.586666666666662,-1.5502759685564442,0.0019809754515232886,0.014949257143391348,Downregulated
PBX2,35.26666666666667,25.2,-0.4848651468226122,0.0019831673636709676,0.014955952295894935,Not significant
CLSTN2,4.6433333333333335,2.0500000000000003,-1.179144029285159,0.001993453199910388,0.014985290607084692,Downregulated
CD9,2.6766666666666663,1.2466666666666668,-1.1017438282767984,0.0019935940134174434,0.014985290607084692,Downregulated
MAPK7,2.4966666666666666,3.1199999999999997,0.3214274065063591,0.001991662074633969,0.014985290607084692,Not significant
ELOVL1,113.30333333333334,72.46,-0.644926417207985,0.0019891964900382226,0.014985290607084692,Not significant
PMAIP1,20.49333333333333,30.53,0.575049782915639,0.001993030109058607,0.014985290607084692,Not significant
TBC1D9B,20.243333333333336,13.956666666666669,-0.5364603511154664,0.0019962229903436003,0.014995218963505039,Not significant
S100A9,2212.8633333333332,971.4899999999999,-1.1876424691558984,0.002002754227373767,0.015004948829010127,Downregulated
FBXW7,2.47,3.02,0.2899311733991564,0.002002699394582594,0.015004948829010127,Not significant
NLRX1,7.026666666666666,3.4933333333333336,-1.0080285264999271,0.002002413330779096,0.015004948829010127,Downregulated
CHTOP,24.5,17.866666666666664,-0.4554893879789993,0.0019992065988729485,0.015004948829010127,Not significant
CD37,23.843333333333334,11.556666666666667,-1.0447962797823238,0.002008393597727962,0.015037371528906355,Downregulated
FGR,15.263333333333335,21.853333333333335,0.5177547878606166,0.0020114131611770336,0.015050149521261318,Not significant
TSPYL5,15.26,8.87,-0.7826808507423049,0.0020143505713148937,0.015062296542063031,Not significant
MTATP6P1,337.8533333333333,487.7633333333333,0.5297829088668743,0.002015906923115051,0.015064107600826486,Not significant
DDX56,15.730000000000002,12.013333333333334,-0.3888537874040303,0.0020172325044877787,0.015064192963481046,Not significant
SMG8,7.813333333333333,5.2299999999999995,-0.5790360273651675,0.0020231845533930774,0.015097711503793375,Not significant
ARMCX3,24.5,41.64666666666667,0.7653950365371849,0.002025672188156173,0.015097711503793375,Not significant
A4GALT,6.55,3.453333333333333,-0.9233078430742037,0.0020256608011238945,0.015097711503793375,Not significant
RAB33B,2.3233333333333333,5.726666666666667,1.3011305535386763,0.0020421355759349825,0.015128522429023936,Upregulated
ATRN,12.54,6.263333333333333,-1.0014195035386546,0.0020430038140215523,0.015128522429023936,Downregulated
CXCR2,5.243333333333333,1.4933333333333334,-1.8112573884680288,0.00203997029422251,0.015128522429023936,Downregulated
HLA-E,141.69333333333336,99.71,-0.506957487943494,0.002041219052227017,0.015128522429023936,Not significant
CLEC4A,0.5166666666666666,1.7733333333333334,1.777181736538185,0.0020365249023778,0.015128522429023936,Upregulated
ARHGEF40,4.633333333333334,2.21,-1.067662791394686,0.0020405134140167843,0.015128522429023936,Downregulated
ZNF606,1.7933333333333332,0.9866666666666667,-0.861351799058148,0.0020369208519404776,0.015128522429023936,Not significant
LYN,50.51,64.89666666666666,0.36156900439193945,0.002040537579562292,0.015128522429023936,Not significant
AP2M1,51.09666666666667,79.01333333333334,0.6288569711704362,0.002033435307134404,0.015128522429023936,Not significant
IFITM2,30.930000000000003,18.976666666666667,-0.7047508548613055,0.0020386235238323554,0.015128522429023936,Not significant
RBM12B,5.510000000000001,2.42,-1.1867110478335696,0.0020458741053981755,0.01513999668830167,Downregulated
TOR2A,7.913333333333334,5.12,-0.6280422704668772,0.0020623296911246145,0.015222463135454896,Not significant
SATB1-AS1,1.71,0.9066666666666667,-0.9146052781667734,0.0020587015400616642,0.015222463135454896,Not significant
CORO1A,112.91000000000001,68.82,-0.7142652826507424,0.0020623026453100886,0.015222463135454896,Not significant
SNIP1,4.02,6.4433333333333325,0.6804767832801232,0.002061320541137896,0.015222463135454896,Not significant
ZNF432,2.3666666666666667,4.726666666666667,0.997662334481634,0.002065398534490346,0.015225507010201183,Not significant
IRF5,19.783333333333335,11.423333333333334,-0.792248472764331,0.0020645346823283447,0.015225507010201183,Not significant
MSC,12.816666666666668,28.456666666666667,1.150683718565715,0.002072112854858007,0.015250173315178197,Upregulated
ARL1,17.68,30.986666666666665,0.8094942530249651,0.0020715976309226866,0.015250173315178197,Not significant
MAX,14.766666666666666,23.25,0.6548508720962627,0.002072735760712521,0.015250173315178197,Not significant
UGCG,6.966666666666666,15.536666666666667,1.1570223544677538,0.002077309494181217,0.0152740209953812,Upregulated
MACO1,9.883333333333333,14.153333333333334,0.518028230972813,0.002080559556261481,0.01528811166245215,Not significant
ZBTB4,7.8133333333333335,8.94,0.1943134002869416,0.0020820276993063916,0.01528909898600203,Not significant
FBXO10,2.3166666666666664,3.6300000000000003,0.6476938413292754,0.0020891500004294977,0.015302189428066028,Not significant
CCR5AS,2.4833333333333334,0.6533333333333333,-1.9247610868552791,0.0020888617828084426,0.015302189428066028,Downregulated
MYO1G,4.666666666666667,1.9399999999999997,-1.2659014191038358,0.002088493751472648,0.015302189428066028,Downregulated
FARSB,10.196666666666667,13.486666666666666,0.4034017009946759,0.002087993674257425,0.015302189428066028,Not significant
HSD17B7P2,2.4200000000000004,5.04,1.0581068750104277,0.0020924380290055695,0.015306711631455548,Upregulated
EIF2AK2,14.38,6.84,-1.0718848636521678,0.002091636426804178,0.015306711631455548,Downregulated
WDR59,2.2433333333333336,1.5133333333333334,-0.5676041594341484,0.0020944340808501777,0.015311542008154072,Not significant
ZNF133,1.7133333333333332,1.1733333333333331,-0.5458056788574936,0.002098709558218956,0.015313499469041309,Not significant
